Driver,Team,Avg_Lap_Time,Max_Speed,Pit_Stops,Stint_Count,Avg_Tyre_Life,Constructor,Grid,Finish_Position,Status,Points,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Season,Race,DNF,Top10,Grid_Finish_Delta
ALO,McLaren,0 days 00:01:33.123603448,294.0,1.0,2.0,14.964912280701755,McLaren,10.0,5.0,Finished,10.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,5.0
BOT,Mercedes,0 days 00:01:33.234862068,306.0,1.0,2.0,16.36842105263158,Mercedes,15.0,8.0,Finished,4.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,7.0
ERI,Sauber,0 days 00:01:35.019200,298.0,0.0,1.0,2.5,Sauber,17.0,19.0,Steering,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,1,0,-2.0
GAS,Toro Rosso,0 days 00:01:33.188538461,294.0,0.0,1.0,6.5,Toro Rosso,20.0,18.0,Engine,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,1,0,2.0
GRO,Haas F1 Team,0 days 00:01:31.369916666,295.0,1.0,1.0,15.0,Haas F1 Team,6.0,16.0,Wheel,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,1,0,-10.0
HAM,Mercedes,0 days 00:01:32.729637931,297.0,1.0,2.0,17.571428571428573,Mercedes,1.0,2.0,Finished,18.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,-1.0
HAR,Toro Rosso,0 days 00:01:34.662438596,279.0,2.0,2.0,15.375,Toro Rosso,16.0,15.0,+1 Lap,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,1,0,1.0
HUL,Renault,0 days 00:01:33.206103448,301.0,1.0,2.0,16.49122807017544,Renault,7.0,7.0,Finished,6.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,0.0
LEC,Sauber,0 days 00:01:33.949000,301.0,2.0,3.0,12.526315789473685,Sauber,18.0,13.0,Finished,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,0,5.0
MAG,Haas F1 Team,0 days 00:01:31.430318181,284.0,1.0,1.0,14.0,Haas F1 Team,5.0,17.0,Wheel,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,1,0,-12.0
OCO,Force India,0 days 00:01:33.682086206,297.0,1.0,2.0,15.491228070175438,Force India,14.0,12.0,Finished,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,0,2.0
PER,Force India,0 days 00:01:33.450000,302.0,1.0,2.0,15.280701754385966,Force India,12.0,11.0,Finished,0.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,0,1.0
RAI,Ferrari,0 days 00:01:32.751586206,288.0,1.0,2.0,17.964912280701753,Ferrari,2.0,3.0,Finished,15.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,-1.0
RIC,Red Bull Racing,0 days 00:01:32.764689655,298.0,1.0,2.0,16.280701754385966,Red Bull Racing,8.0,4.0,Finished,12.0,24.077477477477483,36.324324324324316,30.91531531531532,0.04504504504504504,3.6918918918918915,2018,Australian Grand Prix,0,1,4.0
